1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: BE0000007FF63841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Jan 18 11:18:01 SGT 2024
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Wed Jan 24 05:28:01 SGT 2024
Total Mission Samples:  5754
Total Device Samples:  7571
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
1/26/24 6:33:01 AM,C,27.521
1/26/24 6:38:01 AM,C,27.583
1/26/24 6:43:01 AM,C,27.583
1/26/24 6:48:01 AM,C,27.583
1/26/24 6:53:01 AM,C,27.583
1/26/24 6:58:01 AM,C,27.583
1/26/24 7:03:01 AM,C,27.583
1/26/24 7:08:01 AM,C,27.583
1/26/24 7:13:01 AM,C,27.583
1/26/24 7:18:01 AM,C,27.583
1/26/24 7:23:01 AM,C,27.583
1/26/24 7:28:01 AM,C,27.521
1/26/24 7:33:01 AM,C,27.521
1/26/24 7:38:01 AM,C,27.583
1/26/24 7:43:01 AM,C,27.583
1/26/24 7:48:01 AM,C,27.521
1/26/24 7:53:01 AM,C,27.583
1/26/24 7:58:01 AM,C,27.583
1/26/24 8:03:01 AM,C,27.583
1/26/24 8:08:01 AM,C,27.583
1/26/24 8:13:01 AM,C,27.583
1/26/24 8:18:01 AM,C,27.583
1/26/24 8:23:01 AM,C,27.583
1/26/24 8:28:01 AM,C,27.583
1/26/24 8:33:01 AM,C,27.583
1/26/24 8:38:01 AM,C,27.583
1/26/24 8:43:01 AM,C,27.583
1/26/24 8:48:01 AM,C,27.583
1/26/24 8:53:01 AM,C,27.583
1/26/24 8:58:01 AM,C,27.583
1/26/24 9:03:01 AM,C,27.646
1/26/24 9:08:01 AM,C,27.646
1/26/24 9:13:01 AM,C,27.646
1/26/24 9:18:01 AM,C,27.583
1/26/24 9:23:01 AM,C,27.583
1/26/24 9:28:01 AM,C,27.521
1/26/24 9:33:01 AM,C,27.521
1/26/24 9:38:01 AM,C,27.521
1/26/24 9:43:01 AM,C,27.583
1/26/24 9:48:01 AM,C,27.583
1/26/24 9:53:01 AM,C,27.583
1/26/24 9:58:01 AM,C,27.583
1/26/24 10:03:01 AM,C,27.646
1/26/24 10:08:01 AM,C,27.646
1/26/24 10:13:01 AM,C,27.646
1/26/24 10:18:01 AM,C,27.646
1/26/24 10:23:01 AM,C,27.646
1/26/24 10:28:01 AM,C,27.646
1/26/24 10:33:01 AM,C,27.646
1/26/24 10:38:01 AM,C,27.646
1/26/24 10:43:01 AM,C,27.708
1/26/24 10:48:01 AM,C,27.708
1/26/24 10:53:01 AM,C,30.644
1/26/24 10:58:01 AM,C,31.081
1/26/24 11:03:01 AM,C,31.83
1/26/24 11:08:01 AM,C,31.331
1/26/24 11:13:01 AM,C,31.331
1/26/24 11:18:01 AM,C,32.018
1/26/24 11:23:01 AM,C,32.517
1/26/24 11:28:01 AM,C,32.704
1/26/24 11:33:01 AM,C,32.767
1/26/24 11:38:01 AM,C,32.517
1/26/24 11:43:01 AM,C,32.018
1/26/24 11:48:01 AM,C,31.955
1/26/24 11:53:01 AM,C,32.205
1/26/24 11:58:01 AM,C,32.829
1/26/24 12:03:01 PM,C,32.704
1/26/24 12:08:01 PM,C,32.767
1/26/24 12:13:01 PM,C,33.016
1/26/24 12:18:01 PM,C,32.704
1/26/24 12:23:01 PM,C,32.767
1/26/24 12:28:01 PM,C,32.642
1/26/24 12:33:01 PM,C,32.33
1/26/24 12:38:01 PM,C,32.33
1/26/24 12:43:01 PM,C,32.392
1/26/24 12:48:01 PM,C,32.205
1/26/24 12:53:01 PM,C,32.891
1/26/24 12:58:01 PM,C,32.954
1/26/24 1:03:01 PM,C,32.579
1/26/24 1:08:01 PM,C,32.018
1/26/24 1:13:01 PM,C,31.83
1/26/24 1:18:01 PM,C,31.893
1/26/24 1:23:01 PM,C,31.83
1/26/24 1:28:01 PM,C,31.456
1/26/24 1:33:01 PM,C,31.331
1/26/24 1:38:01 PM,C,31.331
1/26/24 1:43:01 PM,C,31.143
1/26/24 1:48:01 PM,C,31.955
1/26/24 1:53:01 PM,C,32.517
1/26/24 1:58:01 PM,C,32.579
1/26/24 2:03:01 PM,C,32.642
1/26/24 2:08:01 PM,C,32.142
1/26/24 2:13:01 PM,C,32.704
1/26/24 2:18:01 PM,C,32.704
1/26/24 2:23:01 PM,C,32.455
1/26/24 2:28:01 PM,C,32.142
1/26/24 2:33:01 PM,C,31.581
1/26/24 2:38:01 PM,C,31.518
1/26/24 2:43:01 PM,C,31.143
1/26/24 2:48:01 PM,C,31.206
1/26/24 2:53:01 PM,C,30.894
1/26/24 2:58:01 PM,C,30.894
1/26/24 3:03:01 PM,C,31.019
1/26/24 3:08:01 PM,C,31.206
1/26/24 3:13:01 PM,C,31.143
1/26/24 3:18:01 PM,C,31.019
1/26/24 3:23:01 PM,C,30.769
1/26/24 3:28:01 PM,C,30.519
1/26/24 3:33:01 PM,C,30.394
1/26/24 3:38:01 PM,C,30.394
1/26/24 3:43:01 PM,C,30.332
1/26/24 3:48:01 PM,C,30.144
1/26/24 3:53:01 PM,C,30.457
1/26/24 3:58:01 PM,C,31.206
1/26/24 4:03:01 PM,C,31.331
1/26/24 4:08:01 PM,C,31.518
1/26/24 4:13:01 PM,C,32.267
1/26/24 4:18:01 PM,C,31.206
1/26/24 4:23:01 PM,C,29.083
1/26/24 4:28:01 PM,C,28.895
1/26/24 4:33:01 PM,C,28.833
1/26/24 4:38:01 PM,C,28.833
1/26/24 4:43:01 PM,C,28.833
1/26/24 4:48:01 PM,C,28.77
1/26/24 4:53:01 PM,C,28.77
1/26/24 4:58:01 PM,C,28.833
1/26/24 5:03:01 PM,C,28.77
1/26/24 5:08:01 PM,C,28.77
1/26/24 5:13:01 PM,C,28.77
1/26/24 5:18:01 PM,C,28.77
1/26/24 5:23:01 PM,C,28.77
1/26/24 5:28:01 PM,C,28.77
1/26/24 5:33:01 PM,C,28.77
1/26/24 5:38:01 PM,C,29.145
1/26/24 5:43:01 PM,C,29.145
1/26/24 5:48:01 PM,C,28.958
1/26/24 5:53:01 PM,C,28.895
1/26/24 5:58:01 PM,C,28.833
1/26/24 6:03:01 PM,C,28.833
1/26/24 6:08:01 PM,C,28.833
1/26/24 6:13:01 PM,C,28.77
1/26/24 6:18:01 PM,C,28.77
1/26/24 6:23:01 PM,C,28.77
1/26/24 6:28:01 PM,C,28.77
1/26/24 6:33:01 PM,C,28.708
1/26/24 6:38:01 PM,C,28.708
1/26/24 6:43:01 PM,C,28.708
1/26/24 6:48:01 PM,C,28.708
1/26/24 6:53:01 PM,C,28.958
1/26/24 6:58:01 PM,C,29.02
1/26/24 7:03:01 PM,C,29.083
1/26/24 7:08:01 PM,C,29.145
1/26/24 7:13:01 PM,C,29.083
1/26/24 7:18:01 PM,C,31.893
1/26/24 7:23:01 PM,C,32.205
1/26/24 7:28:01 PM,C,31.705
1/26/24 7:33:01 PM,C,31.268
1/26/24 7:38:01 PM,C,30.644
1/26/24 7:43:01 PM,C,31.518
1/26/24 7:48:01 PM,C,32.767
1/26/24 7:53:01 PM,C,33.453
1/26/24 7:58:01 PM,C,33.89
1/26/24 8:03:01 PM,C,33.89
1/26/24 8:08:01 PM,C,34.14
1/26/24 8:13:01 PM,C,34.452
1/26/24 8:18:01 PM,C,34.701
1/26/24 8:23:01 PM,C,34.764
1/26/24 8:28:01 PM,C,35.013
1/26/24 8:33:01 PM,C,34.514
1/26/24 8:38:01 PM,C,34.577
1/26/24 8:43:01 PM,C,34.577
1/26/24 8:48:01 PM,C,34.826
1/26/24 8:53:01 PM,C,34.452
1/26/24 8:58:01 PM,C,34.14
1/26/24 9:03:01 PM,C,33.516
1/26/24 9:08:01 PM,C,33.765
1/26/24 9:13:01 PM,C,33.016
1/26/24 9:18:01 PM,C,32.954
1/26/24 9:23:01 PM,C,32.642
1/26/24 9:28:01 PM,C,32.829
1/26/24 9:33:01 PM,C,32.704
1/26/24 9:38:01 PM,C,32.829
1/26/24 9:43:01 PM,C,33.016
1/26/24 9:48:01 PM,C,33.328
1/26/24 9:53:01 PM,C,33.079
1/26/24 9:58:01 PM,C,33.016
1/26/24 10:03:01 PM,C,33.64
1/26/24 10:08:01 PM,C,34.077
1/26/24 10:13:01 PM,C,33.828
1/26/24 10:18:01 PM,C,32.579
1/26/24 10:23:01 PM,C,32.33
1/26/24 10:28:01 PM,C,32.018
1/26/24 10:33:01 PM,C,31.581
1/26/24 10:38:01 PM,C,32.455
1/26/24 10:43:01 PM,C,33.391
1/26/24 10:48:01 PM,C,32.33
1/26/24 10:53:01 PM,C,29.395
1/26/24 10:58:01 PM,C,28.958
1/26/24 11:03:01 PM,C,28.895
1/26/24 11:08:01 PM,C,28.833
1/26/24 11:13:01 PM,C,28.833
1/26/24 11:18:01 PM,C,28.708
1/26/24 11:23:01 PM,C,28.583
1/26/24 11:28:01 PM,C,28.583
1/26/24 11:33:01 PM,C,28.521
1/26/24 11:38:01 PM,C,28.521
1/26/24 11:43:01 PM,C,28.521
1/26/24 11:48:01 PM,C,28.458
1/26/24 11:53:01 PM,C,28.458
1/26/24 11:58:01 PM,C,28.458
1/27/24 12:03:01 AM,C,28.396
1/27/24 12:08:01 AM,C,28.396
1/27/24 12:13:01 AM,C,28.396
1/27/24 12:18:01 AM,C,28.396
1/27/24 12:23:01 AM,C,28.396
1/27/24 12:28:01 AM,C,28.333
1/27/24 12:33:01 AM,C,28.333
1/27/24 12:38:01 AM,C,28.333
1/27/24 12:43:01 AM,C,28.333
1/27/24 12:48:01 AM,C,28.271
1/27/24 12:53:01 AM,C,28.271
1/27/24 12:58:01 AM,C,28.271
1/27/24 1:03:01 AM,C,28.271
1/27/24 1:08:01 AM,C,28.271
1/27/24 1:13:01 AM,C,28.271
1/27/24 1:18:01 AM,C,28.271
1/27/24 1:23:01 AM,C,28.271
1/27/24 1:28:01 AM,C,28.271
1/27/24 1:33:01 AM,C,28.271
1/27/24 1:38:01 AM,C,28.271
1/27/24 1:43:01 AM,C,28.271
1/27/24 1:48:01 AM,C,28.271
1/27/24 1:53:01 AM,C,28.208
1/27/24 1:58:01 AM,C,28.208
1/27/24 2:03:01 AM,C,28.208
1/27/24 2:08:01 AM,C,28.208
1/27/24 2:13:01 AM,C,28.208
1/27/24 2:18:01 AM,C,28.208
1/27/24 2:23:01 AM,C,28.208
1/27/24 2:28:01 AM,C,28.208
1/27/24 2:33:01 AM,C,28.208
1/27/24 2:38:01 AM,C,28.208
1/27/24 2:43:01 AM,C,28.208
1/27/24 2:48:01 AM,C,28.208
1/27/24 2:53:01 AM,C,28.333
1/27/24 2:58:01 AM,C,28.333
1/27/24 3:03:01 AM,C,28.396
1/27/24 3:08:01 AM,C,28.458
1/27/24 3:13:01 AM,C,28.396
1/27/24 3:18:01 AM,C,28.396
1/27/24 3:23:01 AM,C,28.396
1/27/24 3:28:01 AM,C,28.396
1/27/24 3:33:01 AM,C,28.396
1/27/24 3:38:01 AM,C,28.396
1/27/24 3:43:01 AM,C,28.396
1/27/24 3:48:01 AM,C,28.396
1/27/24 3:53:01 AM,C,28.396
1/27/24 3:58:01 AM,C,28.458
1/27/24 4:03:01 AM,C,28.396
1/27/24 4:08:01 AM,C,28.396
1/27/24 4:13:01 AM,C,28.396
1/27/24 4:18:01 AM,C,28.396
1/27/24 4:23:01 AM,C,28.396
1/27/24 4:28:01 AM,C,28.396
1/27/24 4:33:01 AM,C,28.396
1/27/24 4:38:01 AM,C,28.396
1/27/24 4:43:01 AM,C,28.396
1/27/24 4:48:01 AM,C,28.396
1/27/24 4:53:01 AM,C,28.396
1/27/24 4:58:01 AM,C,28.396
1/27/24 5:03:01 AM,C,28.396
1/27/24 5:08:01 AM,C,28.396
1/27/24 5:13:01 AM,C,28.396
1/27/24 5:18:01 AM,C,28.396
1/27/24 5:23:01 AM,C,28.396
1/27/24 5:28:01 AM,C,28.396
1/27/24 5:33:01 AM,C,28.396
1/27/24 5:38:01 AM,C,28.396
1/27/24 5:43:01 AM,C,28.396
1/27/24 5:48:01 AM,C,28.396
1/27/24 5:53:01 AM,C,28.396
1/27/24 5:58:01 AM,C,28.396
1/27/24 6:03:01 AM,C,28.396
1/27/24 6:08:01 AM,C,28.333
1/27/24 6:13:01 AM,C,28.333
1/27/24 6:18:01 AM,C,28.333
1/27/24 6:23:01 AM,C,28.333
1/27/24 6:28:01 AM,C,28.333
1/27/24 6:33:01 AM,C,28.333
1/27/24 6:38:01 AM,C,28.333
1/27/24 6:43:01 AM,C,28.333
1/27/24 6:48:01 AM,C,28.333
1/27/24 6:53:01 AM,C,28.333
1/27/24 6:58:01 AM,C,28.333
1/27/24 7:03:01 AM,C,28.333
1/27/24 7:08:01 AM,C,28.333
1/27/24 7:13:01 AM,C,28.333
1/27/24 7:18:01 AM,C,28.333
1/27/24 7:23:01 AM,C,28.333
1/27/24 7:28:01 AM,C,28.333
1/27/24 7:33:01 AM,C,28.333
1/27/24 7:38:01 AM,C,28.333
1/27/24 7:43:01 AM,C,28.333
1/27/24 7:48:01 AM,C,28.333
1/27/24 7:53:01 AM,C,28.333
1/27/24 7:58:01 AM,C,28.333
1/27/24 8:03:01 AM,C,28.333
1/27/24 8:08:01 AM,C,28.333
1/27/24 8:13:01 AM,C,28.333
1/27/24 8:18:01 AM,C,28.333
1/27/24 8:23:01 AM,C,28.396
1/27/24 8:28:01 AM,C,28.396
1/27/24 8:33:01 AM,C,28.333
1/27/24 8:38:01 AM,C,28.396
1/27/24 8:43:01 AM,C,28.396
1/27/24 8:48:01 AM,C,28.396
1/27/24 8:53:01 AM,C,28.396
1/27/24 8:58:01 AM,C,28.396
1/27/24 9:03:01 AM,C,28.396
1/27/24 9:08:01 AM,C,28.396
1/27/24 9:13:01 AM,C,28.396
1/27/24 9:18:01 AM,C,28.396
1/27/24 9:23:01 AM,C,28.396
1/27/24 9:28:01 AM,C,28.396
1/27/24 9:33:01 AM,C,28.396
1/27/24 9:38:01 AM,C,28.396
1/27/24 9:43:01 AM,C,28.396
1/27/24 9:48:01 AM,C,28.396
1/27/24 9:53:01 AM,C,28.396
1/27/24 9:58:01 AM,C,28.396
1/27/24 10:03:01 AM,C,28.458
1/27/24 10:08:01 AM,C,28.521
1/27/24 10:13:01 AM,C,28.521
1/27/24 10:18:01 AM,C,28.583
1/27/24 10:23:01 AM,C,28.583
1/27/24 10:28:01 AM,C,28.583
1/27/24 10:33:01 AM,C,28.583
1/27/24 10:38:01 AM,C,28.645
1/27/24 10:43:01 AM,C,28.645
1/27/24 10:48:01 AM,C,28.645
1/27/24 10:53:01 AM,C,28.645
1/27/24 10:58:01 AM,C,28.708
1/27/24 11:03:01 AM,C,28.708
1/27/24 11:08:01 AM,C,28.77
1/27/24 11:13:01 AM,C,28.77
1/27/24 11:18:01 AM,C,28.895
1/27/24 11:23:01 AM,C,28.895
1/27/24 11:28:01 AM,C,28.958
1/27/24 11:33:01 AM,C,29.02
1/27/24 11:38:01 AM,C,29.145
1/27/24 11:43:01 AM,C,29.208
1/27/24 11:48:01 AM,C,29.27
1/27/24 11:53:01 AM,C,29.333
1/27/24 11:58:01 AM,C,29.395
1/27/24 12:03:01 PM,C,29.395
1/27/24 12:08:01 PM,C,29.083
1/27/24 12:13:01 PM,C,29.145
1/27/24 12:18:01 PM,C,33.578
1/27/24 12:23:01 PM,C,33.578
1/27/24 12:28:01 PM,C,33.64
1/27/24 12:33:01 PM,C,33.578
1/27/24 12:38:01 PM,C,33.328
1/27/24 12:43:01 PM,C,32.829
1/27/24 12:48:01 PM,C,32.455
1/27/24 12:53:01 PM,C,32.455
1/27/24 12:58:01 PM,C,32.829
1/27/24 1:03:01 PM,C,32.829
1/27/24 1:08:01 PM,C,32.455
1/27/24 1:13:01 PM,C,32.08
1/27/24 1:18:01 PM,C,31.705
1/27/24 1:23:01 PM,C,31.393
1/27/24 1:28:01 PM,C,31.456
1/27/24 1:33:01 PM,C,31.643
1/27/24 1:38:01 PM,C,31.518
1/27/24 1:43:01 PM,C,31.518
1/27/24 1:48:01 PM,C,31.393
1/27/24 1:53:01 PM,C,31.206
1/27/24 1:58:01 PM,C,30.956
1/27/24 2:03:01 PM,C,31.581
1/27/24 2:08:01 PM,C,31.893
1/27/24 2:13:01 PM,C,32.142
1/27/24 2:18:01 PM,C,32.018
1/27/24 2:23:01 PM,C,31.705
1/27/24 2:28:01 PM,C,31.955
1/27/24 2:33:01 PM,C,32.018
1/27/24 2:38:01 PM,C,32.642
1/27/24 2:43:01 PM,C,33.016
1/27/24 2:48:01 PM,C,32.33
1/27/24 2:53:01 PM,C,32.392
1/27/24 2:58:01 PM,C,32.642
1/27/24 3:03:01 PM,C,32.704
1/27/24 3:08:01 PM,C,32.767
1/27/24 3:13:01 PM,C,32.517
1/27/24 3:18:01 PM,C,32.455
1/27/24 3:23:01 PM,C,32.267
1/27/24 3:28:01 PM,C,32.455
1/27/24 3:33:01 PM,C,32.205
1/27/24 3:38:01 PM,C,29.832
1/27/24 3:43:01 PM,C,29.145
1/27/24 3:48:01 PM,C,29.083
1/27/24 3:53:01 PM,C,29.083
1/27/24 3:58:01 PM,C,29.02
1/27/24 4:03:01 PM,C,29.02
1/27/24 4:08:01 PM,C,29.083
1/27/24 4:13:01 PM,C,29.083
1/27/24 4:18:01 PM,C,29.083
1/27/24 4:23:01 PM,C,29.083
1/27/24 4:28:01 PM,C,29.083
1/27/24 4:33:01 PM,C,29.145
1/27/24 4:38:01 PM,C,29.208
1/27/24 4:43:01 PM,C,29.27
1/27/24 4:48:01 PM,C,29.27
1/27/24 4:53:01 PM,C,29.333
1/27/24 4:58:01 PM,C,29.333
1/27/24 5:03:01 PM,C,29.333
1/27/24 5:08:01 PM,C,29.333
1/27/24 5:13:01 PM,C,29.395
1/27/24 5:18:01 PM,C,29.395
1/27/24 5:23:01 PM,C,29.395
1/27/24 5:28:01 PM,C,29.395
1/27/24 5:33:01 PM,C,29.395
1/27/24 5:38:01 PM,C,29.395
1/27/24 5:43:01 PM,C,29.395
1/27/24 5:48:01 PM,C,29.395
1/27/24 5:53:01 PM,C,29.395
1/27/24 5:58:01 PM,C,29.395
1/27/24 6:03:01 PM,C,29.395
1/27/24 6:08:01 PM,C,29.395
1/27/24 6:13:01 PM,C,29.395
1/27/24 6:18:01 PM,C,29.395
1/27/24 6:23:01 PM,C,29.208
1/27/24 6:28:01 PM,C,29.145
1/27/24 6:33:01 PM,C,29.208
1/27/24 6:38:01 PM,C,29.208
1/27/24 6:43:01 PM,C,32.205
1/27/24 6:48:01 PM,C,32.517
1/27/24 6:53:01 PM,C,32.018
1/27/24 6:58:01 PM,C,31.456
1/27/24 7:03:01 PM,C,32.517
1/27/24 7:08:01 PM,C,32.954
1/27/24 7:13:01 PM,C,32.33
1/27/24 7:18:01 PM,C,31.83
1/27/24 7:23:01 PM,C,32.267
1/27/24 7:28:01 PM,C,32.08
1/27/24 7:33:01 PM,C,32.018
1/27/24 7:38:01 PM,C,31.393
1/27/24 7:43:01 PM,C,31.83
1/27/24 7:48:01 PM,C,32.205
1/27/24 7:53:01 PM,C,31.081
1/27/24 7:58:01 PM,C,31.581
1/27/24 8:03:01 PM,C,31.268
1/27/24 8:08:01 PM,C,31.143
1/27/24 8:13:01 PM,C,31.643
1/27/24 8:18:01 PM,C,31.393
1/27/24 8:23:01 PM,C,32.455
1/27/24 8:28:01 PM,C,32.891
1/27/24 8:33:01 PM,C,33.453
1/27/24 8:38:01 PM,C,33.516
1/27/24 8:43:01 PM,C,33.391
1/27/24 8:48:01 PM,C,33.204
1/27/24 8:53:01 PM,C,33.391
1/27/24 8:58:01 PM,C,33.453
1/27/24 9:03:01 PM,C,33.953
1/27/24 9:08:01 PM,C,31.019
1/27/24 9:13:01 PM,C,29.957
1/27/24 9:18:01 PM,C,29.333
1/27/24 9:23:01 PM,C,28.895
1/27/24 9:28:01 PM,C,28.583
1/27/24 9:33:01 PM,C,28.396
1/27/24 9:38:01 PM,C,28.208
1/27/24 9:43:01 PM,C,28.083
1/27/24 9:48:01 PM,C,27.958
1/27/24 9:53:01 PM,C,27.896
1/27/24 9:58:01 PM,C,27.833
1/27/24 10:03:01 PM,C,27.771
1/27/24 10:08:01 PM,C,27.771
1/27/24 10:13:01 PM,C,27.708
1/27/24 10:18:01 PM,C,27.646
1/27/24 10:23:01 PM,C,27.646
1/27/24 10:28:01 PM,C,31.83
1/27/24 10:33:01 PM,C,32.392
1/27/24 10:38:01 PM,C,32.704
1/27/24 10:43:01 PM,C,32.954
1/27/24 10:48:01 PM,C,33.079
1/27/24 10:53:01 PM,C,33.64
1/27/24 10:58:01 PM,C,34.202
1/27/24 11:03:01 PM,C,33.89
1/27/24 11:08:01 PM,C,34.265
1/27/24 11:13:01 PM,C,34.327
1/27/24 11:18:01 PM,C,34.764
1/27/24 11:23:01 PM,C,34.764
1/27/24 11:28:01 PM,C,34.951
1/27/24 11:33:01 PM,C,33.578
1/27/24 11:38:01 PM,C,32.829
1/27/24 11:43:01 PM,C,33.079
1/27/24 11:48:01 PM,C,32.829
1/27/24 11:53:01 PM,C,33.828
1/27/24 11:58:01 PM,C,33.141
1/28/24 12:03:01 AM,C,33.453
1/28/24 12:08:01 AM,C,33.266
1/28/24 12:13:01 AM,C,32.018
1/28/24 12:18:01 AM,C,30.207
1/28/24 12:23:01 AM,C,29.145
1/28/24 12:28:01 AM,C,28.521
1/28/24 12:33:01 AM,C,28.021
1/28/24 12:38:01 AM,C,27.521
1/28/24 12:43:01 AM,C,27.146
1/28/24 12:48:01 AM,C,26.959
1/28/24 12:53:01 AM,C,26.771
1/28/24 12:58:01 AM,C,26.646
1/28/24 1:03:01 AM,C,26.584
1/28/24 1:08:01 AM,C,26.459
1/28/24 1:13:01 AM,C,26.396
1/28/24 1:18:01 AM,C,26.334
1/28/24 1:23:01 AM,C,26.271
1/28/24 1:28:01 AM,C,26.209
1/28/24 1:33:01 AM,C,26.209
1/28/24 1:38:01 AM,C,26.209
1/28/24 1:43:01 AM,C,26.146
1/28/24 1:48:01 AM,C,26.084
1/28/24 1:53:01 AM,C,26.021
1/28/24 1:58:01 AM,C,25.959
1/28/24 2:03:01 AM,C,25.959
1/28/24 2:08:01 AM,C,25.959
1/28/24 2:13:01 AM,C,25.896
1/28/24 2:18:01 AM,C,25.896
1/28/24 2:23:01 AM,C,25.896
1/28/24 2:28:01 AM,C,25.834
1/28/24 2:33:01 AM,C,25.896
1/28/24 2:38:01 AM,C,25.771
1/28/24 2:43:01 AM,C,25.709
1/28/24 2:48:01 AM,C,25.646
1/28/24 2:53:01 AM,C,25.584
1/28/24 2:58:01 AM,C,25.584
1/28/24 3:03:01 AM,C,25.521
1/28/24 3:08:01 AM,C,25.459
1/28/24 3:13:01 AM,C,25.459
1/28/24 3:18:01 AM,C,25.396
1/28/24 3:23:01 AM,C,25.396
1/28/24 3:28:01 AM,C,25.334
1/28/24 3:33:01 AM,C,25.271
1/28/24 3:38:01 AM,C,25.209
1/28/24 3:43:01 AM,C,25.209
1/28/24 3:48:01 AM,C,25.209
1/28/24 3:53:01 AM,C,25.209
1/28/24 3:58:01 AM,C,25.209
1/28/24 4:03:01 AM,C,25.146
1/28/24 4:08:01 AM,C,25.146
1/28/24 4:13:01 AM,C,25.084
1/28/24 4:18:01 AM,C,25.084
1/28/24 4:23:01 AM,C,25.084
1/28/24 4:28:01 AM,C,25.021
1/28/24 4:33:01 AM,C,25.021
1/28/24 4:38:01 AM,C,25.021
1/28/24 4:43:01 AM,C,25.021
1/28/24 4:48:01 AM,C,25.021
1/28/24 4:53:01 AM,C,24.959
1/28/24 4:58:01 AM,C,24.896
1/28/24 5:03:01 AM,C,24.896
1/28/24 5:08:01 AM,C,24.896
1/28/24 5:13:01 AM,C,24.834
1/28/24 5:18:01 AM,C,24.834
1/28/24 5:23:01 AM,C,24.834
1/28/24 5:28:01 AM,C,24.834
1/28/24 5:33:01 AM,C,24.771
1/28/24 5:38:01 AM,C,24.771
1/28/24 5:43:01 AM,C,24.771
1/28/24 5:48:01 AM,C,24.771
1/28/24 5:53:01 AM,C,24.834
1/28/24 5:58:01 AM,C,25.521
1/28/24 6:03:01 AM,C,26.084
1/28/24 6:08:01 AM,C,26.459
1/28/24 6:13:01 AM,C,26.709
1/28/24 6:18:01 AM,C,26.896
1/28/24 6:23:01 AM,C,27.021
1/28/24 6:28:01 AM,C,27.146
1/28/24 6:33:01 AM,C,27.209
1/28/24 6:38:01 AM,C,27.334
1/28/24 6:43:01 AM,C,27.396
1/28/24 6:48:01 AM,C,27.459
1/28/24 6:53:01 AM,C,27.521
1/28/24 6:58:01 AM,C,27.583
1/28/24 7:03:01 AM,C,27.646
1/28/24 7:08:01 AM,C,27.646
1/28/24 7:13:01 AM,C,27.708
1/28/24 7:18:01 AM,C,27.771
1/28/24 7:23:01 AM,C,27.771
1/28/24 7:28:01 AM,C,27.833
1/28/24 7:33:01 AM,C,27.896
1/28/24 7:38:01 AM,C,27.896
1/28/24 7:43:01 AM,C,27.958
1/28/24 7:48:01 AM,C,27.958
1/28/24 7:53:01 AM,C,28.021
1/28/24 7:58:01 AM,C,28.021
1/28/24 8:03:01 AM,C,28.021
1/28/24 8:08:01 AM,C,28.083
1/28/24 8:13:01 AM,C,28.083
1/28/24 8:18:01 AM,C,28.146
1/28/24 8:23:01 AM,C,28.208
1/28/24 8:28:01 AM,C,28.208
1/28/24 8:33:01 AM,C,28.208
1/28/24 8:38:01 AM,C,28.271
1/28/24 8:43:01 AM,C,28.271
1/28/24 8:48:01 AM,C,28.333
1/28/24 8:53:01 AM,C,28.396
1/28/24 8:58:01 AM,C,28.458
1/28/24 9:03:01 AM,C,28.521
1/28/24 9:08:01 AM,C,28.583
1/28/24 9:13:01 AM,C,28.645
1/28/24 9:18:01 AM,C,28.645
1/28/24 9:23:01 AM,C,28.645
1/28/24 9:28:01 AM,C,28.645
1/28/24 9:33:01 AM,C,28.645
1/28/24 9:38:01 AM,C,28.708
1/28/24 9:43:01 AM,C,28.77
1/28/24 9:48:01 AM,C,28.833
1/28/24 9:53:01 AM,C,28.895
1/28/24 9:58:01 AM,C,28.958
1/28/24 10:03:01 AM,C,28.958
1/28/24 10:08:01 AM,C,28.958
1/28/24 10:13:01 AM,C,28.958
1/28/24 10:18:01 AM,C,29.02
1/28/24 10:23:01 AM,C,29.02
1/28/24 10:28:01 AM,C,28.958
1/28/24 10:33:01 AM,C,28.958
1/28/24 10:38:01 AM,C,28.958
1/28/24 10:43:01 AM,C,28.958
1/28/24 10:48:01 AM,C,28.958
1/28/24 10:53:01 AM,C,28.958
1/28/24 10:58:01 AM,C,28.958
1/28/24 11:03:01 AM,C,29.02
1/28/24 11:08:01 AM,C,29.083
1/28/24 11:13:01 AM,C,29.083
1/28/24 11:18:01 AM,C,29.145
1/28/24 11:23:01 AM,C,29.083
1/28/24 11:28:01 AM,C,29.145
1/28/24 11:33:01 AM,C,29.145
1/28/24 11:38:01 AM,C,29.145
1/28/24 11:43:01 AM,C,29.145
1/28/24 11:48:01 AM,C,29.208
1/28/24 11:53:01 AM,C,29.208
1/28/24 11:58:01 AM,C,29.208
1/28/24 12:03:01 PM,C,29.208
1/28/24 12:08:01 PM,C,29.208
1/28/24 12:13:01 PM,C,29.27
1/28/24 12:18:01 PM,C,29.333
1/28/24 12:23:01 PM,C,29.27
1/28/24 12:28:01 PM,C,29.333
1/28/24 12:33:01 PM,C,29.395
1/28/24 12:38:01 PM,C,29.395
1/28/24 12:43:01 PM,C,29.395
