1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: D70000007EABF841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 300 second(s)
Mission Start Time:  Thu Mar 14 12:01:01 SGT 2024
Mission Sample Count:  1731
Roll Over Enabled?  false(no rollover occurred)
First Sample Timestamp:  Thu Mar 14 12:01:01 SGT 2024
Total Mission Samples:  1731
Total Device Samples:  14978
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
3/16/24 12:06:01 AM,C,29.356
3/16/24 12:11:01 AM,C,29.294
3/16/24 12:16:01 AM,C,29.231
3/16/24 12:21:01 AM,C,29.231
3/16/24 12:26:01 AM,C,29.231
3/16/24 12:31:01 AM,C,29.231
3/16/24 12:36:01 AM,C,29.231
3/16/24 12:41:01 AM,C,29.231
3/16/24 12:46:01 AM,C,29.231
3/16/24 12:51:01 AM,C,29.231
3/16/24 12:56:01 AM,C,29.231
3/16/24 1:01:01 AM,C,29.231
3/16/24 1:06:01 AM,C,29.294
3/16/24 1:11:01 AM,C,29.294
3/16/24 1:16:01 AM,C,29.294
3/16/24 1:21:01 AM,C,29.231
3/16/24 1:26:01 AM,C,29.231
3/16/24 1:31:01 AM,C,29.231
3/16/24 1:36:01 AM,C,29.231
3/16/24 1:41:01 AM,C,29.231
3/16/24 1:46:01 AM,C,29.169
3/16/24 1:51:01 AM,C,29.106
3/16/24 1:56:01 AM,C,29.044
3/16/24 2:01:01 AM,C,29.044
3/16/24 2:06:01 AM,C,28.981
3/16/24 2:11:01 AM,C,28.981
3/16/24 2:16:01 AM,C,28.981
3/16/24 2:21:01 AM,C,28.981
3/16/24 2:26:01 AM,C,28.981
3/16/24 2:31:01 AM,C,28.981
3/16/24 2:36:01 AM,C,28.981
3/16/24 2:41:01 AM,C,28.981
3/16/24 2:46:01 AM,C,28.919
3/16/24 2:51:01 AM,C,28.919
3/16/24 2:56:01 AM,C,28.919
3/16/24 3:01:01 AM,C,28.981
3/16/24 3:06:01 AM,C,28.981
3/16/24 3:11:01 AM,C,29.044
3/16/24 3:16:01 AM,C,29.106
3/16/24 3:21:01 AM,C,29.231
3/16/24 3:26:01 AM,C,29.231
3/16/24 3:31:01 AM,C,29.231
3/16/24 3:36:01 AM,C,29.294
3/16/24 3:41:01 AM,C,29.294
3/16/24 3:46:01 AM,C,29.294
3/16/24 3:51:01 AM,C,29.294
3/16/24 3:56:01 AM,C,29.231
3/16/24 4:01:01 AM,C,29.169
3/16/24 4:06:01 AM,C,29.169
3/16/24 4:11:01 AM,C,29.169
3/16/24 4:16:01 AM,C,29.106
3/16/24 4:21:01 AM,C,29.106
3/16/24 4:26:01 AM,C,29.106
3/16/24 4:31:01 AM,C,29.106
3/16/24 4:36:01 AM,C,29.044
3/16/24 4:41:01 AM,C,28.981
3/16/24 4:46:01 AM,C,29.169
3/16/24 4:51:01 AM,C,29.231
3/16/24 4:56:01 AM,C,29.294
3/16/24 5:01:01 AM,C,29.294
3/16/24 5:06:01 AM,C,29.294
3/16/24 5:11:01 AM,C,29.231
3/16/24 5:16:01 AM,C,29.169
3/16/24 5:21:01 AM,C,29.106
3/16/24 5:26:01 AM,C,29.044
3/16/24 5:31:01 AM,C,28.981
3/16/24 5:36:01 AM,C,28.919
3/16/24 5:41:01 AM,C,28.856
3/16/24 5:46:01 AM,C,28.856
3/16/24 5:51:01 AM,C,28.794
3/16/24 5:56:01 AM,C,28.794
3/16/24 6:01:01 AM,C,28.731
3/16/24 6:06:01 AM,C,28.731
3/16/24 6:11:01 AM,C,28.731
3/16/24 6:16:01 AM,C,28.731
3/16/24 6:21:01 AM,C,28.731
3/16/24 6:26:01 AM,C,28.794
3/16/24 6:31:01 AM,C,28.731
3/16/24 6:36:01 AM,C,28.731
3/16/24 6:41:01 AM,C,28.669
3/16/24 6:46:01 AM,C,28.669
3/16/24 6:51:01 AM,C,28.669
3/16/24 6:56:01 AM,C,28.669
3/16/24 7:01:01 AM,C,28.669
3/16/24 7:06:01 AM,C,28.669
3/16/24 7:11:01 AM,C,28.669
3/16/24 7:16:01 AM,C,28.669
3/16/24 7:21:01 AM,C,28.669
3/16/24 7:26:01 AM,C,28.669
3/16/24 7:31:01 AM,C,28.669
3/16/24 7:36:01 AM,C,28.669
3/16/24 7:41:01 AM,C,28.669
3/16/24 7:46:01 AM,C,28.669
3/16/24 7:51:01 AM,C,28.669
3/16/24 7:56:01 AM,C,28.669
3/16/24 8:01:01 AM,C,28.669
3/16/24 8:06:01 AM,C,28.731
3/16/24 8:11:01 AM,C,28.731
3/16/24 8:16:01 AM,C,28.794
3/16/24 8:21:01 AM,C,28.856
3/16/24 8:26:01 AM,C,28.856
3/16/24 8:31:01 AM,C,28.856
3/16/24 8:36:01 AM,C,28.919
3/16/24 8:41:01 AM,C,28.919
3/16/24 8:46:01 AM,C,28.919
3/16/24 8:51:01 AM,C,28.919
3/16/24 8:56:01 AM,C,28.919
3/16/24 9:01:01 AM,C,28.919
3/16/24 9:06:01 AM,C,28.981
3/16/24 9:11:01 AM,C,28.981
3/16/24 9:16:01 AM,C,29.044
3/16/24 9:21:01 AM,C,29.106
3/16/24 9:26:01 AM,C,29.231
3/16/24 9:31:01 AM,C,29.294
3/16/24 9:36:01 AM,C,29.418
3/16/24 9:41:01 AM,C,29.543
3/16/24 9:46:01 AM,C,29.606
3/16/24 9:51:01 AM,C,29.606
3/16/24 9:56:01 AM,C,29.668
3/16/24 10:01:01 AM,C,29.731
3/16/24 10:06:01 AM,C,29.731
3/16/24 10:11:01 AM,C,29.731
3/16/24 10:16:01 AM,C,29.731
3/16/24 10:21:01 AM,C,29.731
3/16/24 10:26:01 AM,C,29.731
3/16/24 10:31:01 AM,C,29.793
3/16/24 10:36:01 AM,C,29.793
3/16/24 10:41:01 AM,C,29.856
3/16/24 10:46:01 AM,C,29.856
3/16/24 10:51:01 AM,C,29.918
3/16/24 10:56:01 AM,C,29.981
3/16/24 11:01:01 AM,C,29.981
3/16/24 11:06:01 AM,C,30.043
3/16/24 11:11:01 AM,C,30.043
3/16/24 11:16:01 AM,C,30.043
3/16/24 11:21:01 AM,C,30.106
3/16/24 11:26:01 AM,C,30.106
3/16/24 11:31:01 AM,C,30.106
3/16/24 11:36:01 AM,C,30.106
3/16/24 11:41:01 AM,C,30.106
3/16/24 11:46:01 AM,C,30.106
3/16/24 11:51:01 AM,C,30.106
3/16/24 11:56:01 AM,C,30.106
3/16/24 12:01:01 PM,C,30.106
3/16/24 12:06:01 PM,C,30.106
3/16/24 12:11:01 PM,C,30.106
3/16/24 12:16:01 PM,C,30.106
3/16/24 12:21:01 PM,C,30.168
3/16/24 12:26:01 PM,C,30.168
3/16/24 12:31:01 PM,C,30.23
3/16/24 12:36:01 PM,C,30.23
3/16/24 12:41:01 PM,C,30.168
3/16/24 12:46:01 PM,C,30.168
3/16/24 12:51:01 PM,C,29.169
3/16/24 12:56:01 PM,C,26.045
3/16/24 1:01:01 PM,C,24.607
